company,Name,Ticker
Dean Foods,Dean Foods Company,DF
OfficeMax,"Office Depot, Inc.",ODP
Hormel Foods,Hormel Foods Corporation,HRL
United Technologies,United Technologies Corporation,UTX
Xerox,Xerox Corporation,XRX
Dover,Dover Corporation,DOV
Kellogg,Kellogg Company,K
Rockwell Automation,Rockwell Automation Inc.,ROK
General Dynamics,General Dynamics Corporation,GD
Pfizer,Pfizer Inc.,PFE
Merck,"Merck & Co., Inc.",MRK
General Motors,General Motors Company,GM
Colgate-Palmolive,Colgate-Palmolive Company,CL
International Paper,International Paper Company,IP
General Electric,General Electric Company,GE
Masco,Masco Corporation,MAS
Northrop Grumman,Northrop Grumman Corporation,NOC
Raytheon,Raytheon Company,RTN
VF,VFC,
Whirlpool,Whirlpool Corporation,WHR
Texas Instruments,Texas Instruments Incorporated,TXN
ConocoPhillips,ConocoPhillips,COP
PPG Industries,"PPG Industries, Inc.",PPG
Emerson Electric,Emerson Electric Co.,EMR
Intel,Intel Corporation,INTC
Berkshire Hathaway,Berkshire Hathaway Inc.,BRK-A
Exxon Mobil,Exxon Mobil Corporation,XOM
Kimberly-Clark,Kimberly-Clark Corporation,KMB
Caterpillar,Caterpillar Inc.,CAT
Archer Daniels Midland,Archer-Daniels-Midland Company,ADM
Abbott Laboratories,Abbott Laboratories,ABT
3M,3M Company,MMM
Paccar,PACCAR Inc,PCAR
Occidental Petroleum,Occidental Petroleum Corporation,OXY
General Mills,"General Mills, Inc.",GIS
Lockheed Martin,Lockheed Martin Corporation,LMT
Deere,Deere & Company,DE
Coca-Cola,The Coca-Cola Company,KO
Becton Dickinson,"Becton, Dickinson and Company",BDX
Weyerhaeuser,Weyerhaeuser Co.,WY
Baxter International,Baxter International Inc.,BAX
Bristol-Myers Squibb,Bristol-Myers Squibb Company,BMY
Campbell Soup,Campbell Soup Company,CPB
Tyson Foods,"Tyson Foods, Inc.",TSN
Goodyear Tire & Rubber,The Goodyear Tire & Rubber Company,GT
Procter & Gamble,The Procter & Gamble Company,PG
Owens-Illinois,"Owens-Illinois, Inc.",OI
Avery Dennison,Avery Dennison Corporation,AVY
Illinois Tool Works,Illinois Tool Works Inc.,ITW
Boeing,The Boeing Company,BA
Owens Corning,Owens Corning,OC
Eli Lilly,Eli Lilly and Company,LLY
Ford Motor,Ford Motor Company,F
Altria Group,"Altria Group, Inc.",MO
Johnson & Johnson,Johnson & Johnson,JNJ
Crown Holdings,"Crown Holdings, Inc.",CCK
R.R. Donnelley & Sons,R.R. Donnelley & Sons Company,RRD
Sherwin-Williams,The Sherwin-Williams Company,SHW
Cummins,Cummins Inc.,CMI
PepsiCo,"Pepsico, Inc.",PEP
Nucor,Nucor Corporation,NUE
Textron,Textron Inc.,TXT
Corning,Corning Incorporated,GLW
U.S. Bancorp,U.S. Bancorp,USB
Alcoa,Alcoa Corporation,AA
Avon Products,"Avon Products, Inc.",AVP
Lear,Lear Corporation,LEA
Valero Energy,Valero Energy Corporation,VLO
Navistar International,Navistar International Corporation,NAV
Ball,Ball Corporation,BLL
Marathon Oil,Marathon Oil Corporation,MRO
Baker Hughes,Baker Hughes Incorporated,BHI
DuPont,"DuPont Fabros Technology, Inc.",DFT
Dow Chemical,The Dow Chemical Company,DOW
Mattel,"Mattel, Inc.",MAT
Monsanto,Monsanto Company,MON
Johnson Controls,Johnson Controls International plc,JCI
Applied Materials,"Applied Materials, Inc.",AMAT
ConAgra Foods,CAG,
Ashland,Ashland Global Holdings Inc.,ASH
Coca-Cola Enterprises,KO,
H.J. Heinz,KHC,
Danaher,Danaher Corporation,DHR
Sealed Air,Sealed Air Corporation,SEE
CBS,CBS Corporation,CBS
Gannett,"Gannett Co., Inc.",GCI
Hewlett-Packard,Hewlett Packard Enterprise Company,HPE
Clorox,The Clorox Company,CLX
Morgan Stanley,Morgan Stanley,MS-PF
Exelon,Exelon Corporation,EXC
Microsoft,Microsoft Corporation,MSFT
Publix Super Markets,"Publix Super Markets, Inc.",PUSH
Gap,"The Gap, Inc.",GPS
AmerisourceBergen,AmerisourceBergen Corporation,ABC
Edison International,Edison International,EIX
Marsh & McLennan,"Marsh & McLennan Companies, Inc.",MMC
Viacom,"Viacom, Inc.",VIAB
Progressive,The Progressive Corporation,PGR
TJX,"The TJX Companies, Inc.",TJX
Time Warner,Time Warner Inc.,TWX
CSX,CSX Corporation,CSX
Wells Fargo,Wells Fargo & Company,WFC
UnitedHealth Group,UnitedHealth Group Incorporated,UNH
American Express,American Express Company,AXP
Praxair,"Praxair, Inc.",PX
PPL,PPL Corporation,PPL
Consolidated Edison,"Consolidated Edison, Inc.",ED
Newell Rubbermaid,NWL,
Entergy,Entergy Corporation,ETR
Humana,Humana Inc.,HUM
Delta Air Lines,"Delta Air Lines, Inc.",DAL
Nordstrom,"Nordstrom, Inc.",JWN
Genuine Parts,Genuine Parts Company,GPC
Pitney Bowes,Pitney Bowes Inc.,PBI
Tenet Healthcare,Tenet Healthcare Corp.,THC
First Data,First Data Corporation,FDC
Thrivent Financial for Lutherans,,
J.C. Penney,"J. C. Penney Company, Inc.",JCP
American Electric Power,"American Electric Power Company, Inc.",AEP
Lincoln National,Lincoln National Corporation,LNC
Norfolk Southern,Norfolk Southern Corporation,NSC
New York Life Insurance,,
DTE Energy,DTE Energy Company,DTE
Citigroup,Citigroup Inc.,C
Best Buy,"Best Buy Co., Inc.",BBY
CenterPoint Energy,"CenterPoint Energy, Inc.",CNP
McKesson,McKesson Corporation,MCK
Arrow Electronics,"Arrow Electronics, Inc.",ARW
Cigna,Cigna Corporation,CI
Ryder System,"Ryder System, Inc.",R
Northwestern Mutual,Northwestern Corporation,NWE
Duke Energy,Duke Energy Corporation,DUK
Owens & Minor,"Owens & Minor, Inc.",OMI
MetLife,"MetLife, Inc.",MET
Foot Locker,"Foot Locker, Inc.",FL
Southern,The Southern Company,SO
Loews,Loews Corporation,L
Target,Target Corporation,TGT
W.W. Grainger,"W.W. Grainger, Inc.",GWW
Public Service Enterprise Group,Public Service Enterprise Group Incorporated,PEG
Union Pacific,Union Pacific Corporation,UNP
Waste Management,"Waste Management, Inc.",WM
Southwest Airlines,Southwest Airlines Co.,LUV
Kroger,The Kroger Co.,KR
SunTrust Banks,"SunTrust Banks, Inc.",STI
McGraw-Hill,"McGraw Hill Financial, Inc.",MHFI
Halliburton,Halliburton Company,HAL
NCR,NCR Corporation,NCR
Tech Data,Tech Data Corporation,TECD
Eastman Chemical,Eastman Chemical Company,EMN
Rite Aid,Rite Aid Corporation,RAD
Graybar Electric,,
CMS Energy,CMS Energy Corporation,CMS
Sysco,Sysco Corporation,SYY
FedEx,FedEx Corporation,FDX
Home Depot,"The Home Depot, Inc.",HD
Avnet,"Avnet, Inc.",AVT
Supervalu,SUPERVALU Inc.,SVU
Cardinal Health,"Cardinal Health, Inc.",CAH
Nike,"NIKE, Inc.",NKE
AT&T,AT&T Inc.,T
Office Depot,"Office Depot, Inc.",ODP
Nationwide,,
Williams,"The Williams Companies, Inc.",WMB
Oracle,Oracle Corporation,ORCL
Harley-Davidson,"Harley-Davidson, Inc.",HOG
Comcast,Comcast Corporation,CMCSA
Aetna,Aetna Inc.,AET
Cisco Systems,"Cisco Systems, Inc.",CSCO
Sunoco,Sunoco LP,SUN
Sara Lee,"Saia, Inc.",SAIA
Aramark,Aramark,ARMK
FirstEnergy,FirstEnergy Corp.,FE
Eaton,Eaton Corporation plc,ETN
Allstate,The Allstate Corporation,ALL
Bank of America Corp.,Bank of America Corporation,BAC
Eastman Kodak,Eastman Kodak Company,KODK
Principal Financial,"Principal Financial Group, Inc.",PFG
PG&E Corp.,PG&E Corporation,PCG
Parker Hannifin,Parker-Hannifin Corporation,PH
Darden Restaurants,"Darden Restaurants, Inc.",DRI
Smithfield Foods,,
Pacific Life,,
Amgen,Amgen Inc.,AMGN
Smurfit-Stone Container,,
Computer Sciences,Computer Sciences Corporation,CSC
Micron Technology,"Micron Technology, Inc.",MU
Omnicom Group,Omnicom Group Inc.,OMC
Fortune Brands,"Fortune Brands Home & Security, Inc.",FBHS
Kelly Services,"Kelly Services, Inc.",KELYA
Xcel Energy,Xcel Energy Inc.,XEL
Interpublic Group,"The Interpublic Group of Companies, Inc.",IPG
Sun Microsystems,,
Fannie Mae,,
Advanced Micro Devices,"Advanced Micro Devices, Inc.",AMD
Walt Disney,The Walt Disney Company,DIS
Motorola,"Motorola Solutions, Inc.",MSI
Unisys,Unisys Corporation,UIS
Dominion Resources,"Dominion Resources, Inc.",DCUB
Dana,Dana Incorporated,DAN
Dell,Deal a Day Group Corp.,DEEL
Tesoro,"Tesaro, Inc.",TSRO
Black & Decker,"Stanley Black & Decker, Inc.",SWK
Ameren,Ameren Corporation,AEE
AutoNation,"AutoNation, Inc.",AN
Western Digital,Western Digital Corporation,WDC
Freddie Mac,,
Staples,"Staples, Inc.",SPLS
Autoliv,"Autoliv, Inc.",ALV
McDonald's,McDonald's Corporation,MCD
Schering-Plough,,
Regions Financial,Regions Financial Corporation,RF
KeyCorp,KeyCorp,KEY
Goodrich,Goodrich Petroleum Corp.,GDPM
United Parcel Service,"United Parcel Service, Inc.",UPS
Murphy Oil,Murphy Oil Corporation,MUR
Lowe's,"Lowe's Companies, Inc.",LOW
Marriott International,"Marriott International, Inc.",MAR
Medtronic,Medtronic plc,MDT
AutoZone,"AutoZone, Inc.",AZO
Costco Wholesale,Costco Wholesale Corporation,COST
Yum Brands,"Yum! Brands, Inc.",YUM
Rohm & Haas,,
Verizon Communications,Verizon Communications Inc.,VZ
Brunswick,Brunswick Corporation,BC
Safeway,"International Safety Group, Inc.",ISGI
Chubb,Chubb Limited,CB
Sempra Energy,Sempra Energy,SRE
BB&T Corp.,BB&T Corporation,BBT
Wachovia Corp.,,
Health Net,,
Dollar General,Dollar General Corporation,DG
Wyeth,,
Dillard's,"Dillard's, Inc.",DDS
Charles Schwab,The Charles Schwab Corporation,SCHW
CHS,"CHS, Inc.",CHSCP
Capital One Financial,Capital One Financial Corporation,COF
Sonic Automotive,"Sonic Automotive, Inc.",SAH
Fluor,Fluor Corporation,FLR
Prudential Financial,"Prudential Financial, Inc.",PRU
Mohawk Industries,"Mohawk Industries, Inc.",MHK
Ingram Micro,Ingram Micro Inc.,IM
Newmont Mining,Newmont Mining Corporation,NEM
USG,USG Corporation,USG
Anheuser-Busch,Anheuser-Busch InBev SA/NV,BUD
Qualcomm,QUALCOMM Incorporated,QCOM
Big Lots,"Big Lots, Inc.",BIG
Harris,Harris Corporation,HRS
Fifth Third Bancorp,Fifth Third Bancorp,FITB
Walgreen,"Walgreens Boots Alliance, Inc.",WBA
EMC,EMC Corporation,EMC
Wal-Mart Stores,"Wal-Mart Stores, Inc.",WMT
Goldman Sachs Group,"The Goldman Sachs Group, Inc.",GS-PJ
American Standard,"AmeriCann, Inc.",ACAN
Group 1 Automotive,"Group 1 Automotive, Inc.",GPI
Air Products & Chem.,,
AK Steel Holding,AK Steel Holding Corporation,AKS
US Airways Group,,
Northeast Utilities,,
AMR,AMS.A,AMS.A
Temple-Inland,,
AES,The AES Corporation,AES
Phelps Dodge,,
Honeywell Intl.,,
Intl. Business Machines,,
Ecolab,Ecolab Inc.,ECL
Charter Communications,"Charter Communications, Inc.",CHTR
Quest Diagnostics,Quest Diagnostics Incorporated,DGX
Terex,Terex Corporation,TEX
Anadarko Petroleum,Anadarko Petroleum Corporation,APC
Dole Food,,
Land O'Lakes,,
Barnes & Noble,"Barnes & Noble, Inc.",BKS
Apple Computer,Apple Inc.,AAPL
Amerada Hess,Hess Corporation,HES
C.H. Robinson Worldwide,"C.H. Robinson Worldwide, Inc.",CHRW
Cablevision Systems,Cablevision Systems Corporation,CVC
Calpine,Calpine Corporation,CPN
Winn-Dixie Stores,,
Hartford Financial Services,"The Hartford Financial Services Group, Inc.",HIG
NiSource,NiSource Inc.,NI
Progress Energy,,
Leggett & Platt,"Leggett & Platt, Incorporated",LEG
Aon,Aon plc,AON
TIAA-CREF,,
Engelhard,,
SLM,SLM Corporation,SLM
Reynolds American,Reynolds American Inc.,RAI
USAA,"USA Technologies, Inc.",USAT
Limited Brands,Pacific Brands Limited,PFBDY
Maytag,Maydao Corp,MYDO
Kohl's,Kohl's Corporation,KSS
AGCO,AGCO Corporation,AGCO
Manpower,,
Constellation Energy,,
SPX,SPX Corporation,SPXC
Devon Energy,Devon Energy Corporation,DVN
Starbucks,Starbucks Corporation,SBUX
Gillette,,
Hershey Foods,,
Anixter International,Anixter International Inc.,AXE
Advance Auto Parts,"Advance Auto Parts, Inc.",AAP
Estee Lauder,The EstÈe Lauder Companies Inc.,EL
Lyondell Chemical,,
ChevronTexaco,,
Ross Stores,"Ross Stores, Inc.",ROST
Stryker,Stryker Corporation,SYK
York International,,
Auto-Owners Insurance,,
Georgia-Pacific,,
Unocal,,
Fidelity National Financial,"Fidelity National Financial, Inc.",FNF
Tenneco Automotive,Tenneco Inc.,TEN
Tribune,Tribune Media Company,TRCO
D.R. Horton,"D.R. Horton, Inc.",DHI
United States Steel,United States Steel Corporation,X
Farmland Industries,,
Continental Airlines,,
Erie Insurance Group,,
Peter Kiewit Sons',,
UAL,UGL Limited,UGLLF
Boston Scientific,Boston Scientific Corporation,BSX
CarMax,CarMax Inc.,KMX
United Stationers,United Stationers Inc.,USTR
Apache,Apache Corporation,APA
Federal-Mogul,Federal-Mogul Holdings Corporation,FDML
W.R. Berkley,W. R. Berkley Corporation,WRB
Henry Schein,"Henry Schein, Inc.",HSIC
El Paso,El Paso Electric Company,EE
FPL Group,FPL Group Capital Trust I,NEE-PC
Bed Bath & Beyond,Bed Bath & Beyond Inc.,BBBY
Wesco International,"WESCO International, Inc.",WCC
AFLAC,Aflac Incorporated,AFL
Visteon,Visteon Corporation,VC
Assurant,"Assurant, Inc.",AIZ
UGI,UGI Corporation,UGI
World Fuel Services,World Fuel Services Corporation,INT
Circuit City Stores,,
New York Times,The New York Times Company,NYT
Lennar,Lennar Corporation,LEN-B
Jabil Circuit,Jabil Inc.,JBL
BorgWarner,BorgWarner Inc.,BWA
Kindred Healthcare,"Kindred Healthcare, Inc.",KND
RadioShack,,
Allegheny Technologies,Allegheny Technologies Incorporated,ATI
Merrill Lynch,Merrill Lynch Capital Trust I,MER-PK
Centex,"Command Center, Inc.",CCNI
Bethlehem Steel,,
CDW,CDW Corporation,CDW
Molson Coors Brewing,Molson Coors Brewing Company,TAP
BJ's Wholesale Club,,
Hershey,The Hershey Company,HSY
Emcor Group,"EMCOR Group, Inc.",EME
Alltel,"ALLETE, Inc.",ALE
Level 3 Communications,"Level 3 Communications, Inc.",LVLT
Genworth Financial,"Genworth Financial, Inc.",GNW
Bear Stearns,,
Franklin Resources,"Franklin Resources, Inc.",BEN
Celanese,Celanese Corporation,CE
Cooper Industries,,
Longs Drug Stores,,
Safeco,Samco Gold Limited,SGCLF
Willamette Industries,,
Kinder Morgan,"Kinder Morgan, Inc.",KMI-PA
Amazon.com,"Amazon.com, Inc.",AMZN
Tenneco,Tenneco Inc.,TEN
News Corp.,NEWS CORP,NWSAL
eBay,eBay Inc.,EBAY
Northwest Airlines,Southwest Airlines Co.,LUV
Chesapeake Energy,Chesapeake Energy Corporation,CHK-PD
National Oilwell Varco,"National Oilwell Varco, Inc.",NOV
Peabody Energy,Peabody Energy Corporation,BTU
L-3 Communications,,
Interstate Bakeries,,
Huntsman,Huntsman Corporation,HUN
TRW,ZF TRW Automotive Holdings Corp.,TRW
Family Dollar Stores,Family Dollar Stores Inc.,FDO
Kerr-McGee,,
Compaq Computer,Compumed Inc.,CMPD
National City Corp.,,
LTV,LOV.A,LOV.A
FMC,FMC Corporation,FMC
Levi Strauss,Levi Strauss Japan k.k.,LVISF
Timken,The Timken Company,TKR
Mosaic,The Mosaic Company,MOS
Agilent Technologies,"Agilent Technologies, Inc.",A
Chevron,Chevron Corporation,CVX
Burlington No. Santa Fe,,
Federated Dept. Stores,,
Mead,Mead Johnson Nutrition Company,MJN
Gateway,Genie Gateway,GGWY
Mellon Financial Corp.,,
Pharmacia,Pharmaxis Ltd,PXSLY
NRG Energy,"NRG Energy, Inc.",NRG
Ameriprise Financial,"Ameriprise Financial, Inc.",AMP
American Intl. Group,GROUPE,GROPF
Mutual of Omaha Ins.,,
Sears Holdings,Sears Holdings Corporation,SHLD
Universal,Universal Corporation,UVV
GameStop,GameStop Corp.,GME
Western Union,The Western Union Company,WU
Global Partners,Global Partners LP,GLP
Westvaco,Westpac Banking Corporation,WBK
Automatic Data Proc.,,
MeadWestvaco,MeadWestvaco Corporation,MWV
Ingersoll-Rand,Ingersoll-Rand Plc,IR
State Farm Insurance Cos,,
Wellpoint,WidePoint Corporation,WYY
Quaker Oats,,
Fleetwood Enterprises,,
PNC Financial Services,"The PNC Financial Services Group, Inc.",PNC
Apple,Apple Inc.,AAPL
Guardian Life of America,,
Seagate Technology,Seagate Technology plc,STX
Liberty Mutual Ins. Group,,
Synnex,SYNNEX Corporation,SNX
Litton Industries,,
Conseco,COGECO Inc.,CGECF
Hasbro,"Hasbro, Inc.",HAS
Union Carbide,,
Tosco,Tesco Corporation,TESO
Bank of New York Co.,The Bank of New York Mellon Corporation,BK
Knight-Ridder,,
Asbury Automotive Group,"Asbury Automotive Group, Inc.",ABG
Armstrong Holdings,ANGSTRON HOLDINGS,ANGP
Massachusetts Mutual Life Insurance,,
Texaco,"Tesaro, Inc.",TSRO
Unum Group,Unum Group,UNM
Avis Budget Group,"Avis Budget Group, Inc.",CAR
Whole Foods Market,"Whole Foods Market, Inc.",WFM
SCI Systems,,
BlackRock,"BlackRock, Inc.",BLK
BellSouth,STRATS TR BELLSOUTH,GJAZ
J.P. Morgan Chase & Co.,JPMorgan Chase & Co.,JPM
Penske Automotive Group,"Penske Automotive Group, Inc.",PAG
Commercial Metals,Commercial Metals Company,CMC
Reliance Steel & Aluminum,Reliance Steel & Aluminum Co.,RS
Guardian Life Ins. Co. of America,,
TXU,"TX Holdings, Inc.",TXHG
Coastal,"Coastal Foods, Inc.",CSFD
Pilgrim's Pride,Pilgrim's Pride Corporation,PPC
Olin,Olin Corporation,OLN
DISH Network,DISH Network Corporation,DISH
Ikon Office Solutions,,
Community Health Systems,"Community Health Systems, Inc.",CYH
Nash Finch,,
Thermo Fisher Scientific,Thermo Fisher Scientific Inc.,TMO
PNC Financial Services Group,"The PNC Financial Services Group, Inc.",PNC
Liberty Mutual Insurance Group,,
Honeywell International,Honeywell International Inc.,HON
Energy Transfer Equity,"Energy Transfer Equity, L.P.",ETE
State St. Corp.,,
Travelers Cos.,,
St. Paul Travelers Cos.,,
Brink's,The Brink's Company,BCO
Sanmina-SCI,Sanmina Corporation,SANM
Hertz Global Holdings,"Hertz Global Holdings, Inc.",HTZ
Caesars Entertainment,Caesars Entertainment Corporation,CZR
Washington Mutual,,
State Street Corp.,State Street Corporation,STT
Solectron,"Solitron Devices, Inc.",SODI
Qwest Communications,,
Express Scripts,Express Scripts Holding Company,ESRX
Ralston Purina,,
CNF,CNB Corporation,CNBZ
ServiceMaster,"ServiceMaster Global Holdings, Inc.",SERV
Bestfoods,,
Omnicare,,
Albertson's,,
Oneok,"ONEOK, Inc.",OKE
Atlantic Richfield,ATLANTICA INC,ALDA
Jacobs Engineering Group,Jacobs Engineering Group Inc.,JEC
Times Mirror,,
Reynolds Metals,,
Fort James,,
Warner-Lambert,,
TravelCenters of America,TravelCenters of America LLC,TA
Air Products & Chemicals,"Air Products and Chemicals, Inc.",APD
Cinergy,Conergy Global Solutions GmbH,CEYHF
Nabisco Group Holdings,GROUPE,GROPF
ITT Industries,ITT Inc.,ITT
Shaw Industries,,
Coventry Health Care,"Cross Country Healthcare, Inc.",CCRN
Mass. Mutual Life Ins.,,
Universal Health Services,"Universal Health Services, Inc.",UHS
CVS,CVS Health Corporation,CVS
Champion International,,
Oshkosh,Oshkosh Corporation,OSK
American Family Insurance Group,,
May Dept. Stores,,
Insight Enterprises,"Insight Enterprises, Inc.",NSIT
Honeywell,Honeywell International Inc.,HON
PacifiCare Health Sys.,PacifiCorp,PPWLM
Icahn Enterprises,Icahn Enterprises L.P.,IEP
American Family Ins. Grp.,"AmeriCann, Inc.",ACAN
Electronic Data Systems,,
Dollar Tree,"Dollar Tree, Inc.",DLTR
UnumProvident,,
Hess,Hess Corporation,HES
Gilead Sciences,"Gilead Sciences, Inc.",GILD
Toys `R` Us,"Lehman ABS Corp., Corporate Backed Trust Certs, Toys ""R"" Us Debenture-Backed Series 2001-31 Trust",XKE
Cooper Tire & Rubber,Cooper Tire & Rubber Company,CTB
SBC Communications,SBA Communications Corporation,SBAC
Sears Roebuck,SEARF,SEARF
Whitman,Witan Ord,WITIF
Performance Food Group,Performance Food Group Company,PFGC
State Farm Insurance Cos.,,
Caremark Rx,,
Union Camp,,
Pepco Holdings,,
AMP,AMP Limited,AMLYY
Seaboard,Seaboard Corporation,SEB
WellCare Health Plans,"WellCare Health Plans, Inc.",WCG
American Financial Grp.,,
Targa Resources,Targa Resources Corp.,TRGP
Comerica,Comerica Incorporated,CMA
EOG Resources,"EOG Resources, Inc.",EOG
Sprint,Sprint Corporation,S
Discover Financial Services,Discover Financial Services,DFS
TRW Automotive Holdings,ZF TRW Automotive Holdings Corp.,TRW
Host Hotels & Resorts,"Host Hotels & Resorts, Inc.",HST
Visa,Visa Inc.,V
Kmart Holding,"Smart Holdings, Inc.",SMHS
Mobil,Exxon Mobil Corporation,XOM
Dynegy,Dynegy Inc.,DYN
Liz Claiborne,,
Ryerson Tull,,
Lehman Brothers Hldgs.,,
Philip Morris International,Philip Morris International Inc.,PM
FleetBoston Financial,,
